Octopuses have three hearts and blue blood | underwater friend
Bees can recognize your face | little helper
Baby elephants suck their trunks like a thumb | cute animal
Cows have best friends who miss them when apart | animal feelings
Sea otters hold hands while sleeping | cute animal
Butterflies taste flowers with their feet | silly body
A group of flamingos is called a flamboyance | funny word
A group of pandas is called an embarrassment | funny word
A group of owls is called a parliament | funny word
A group of crows is called a murmuration | funny word
Baby giraffes are 6 feet tall the day they are born | big baby
Baby kangaroos are as small as a jellybean | tiny baby
Baby pandas are pink and smaller than a stick of butter | tiny baby
Dolphins have names for each other | smart friend
Elephants can recognize themselves in a mirror | smart friend
Bees do a wiggle dance to tell friends where flowers are | smart friend
Owls can turn their heads almost all the way around | wow body
Chameleons can look in two different directions at once | wow body
Sloths only come down from trees once a week | slow friend
Cats spend most of the day taking naps | sleepy friend
A hummingbird's tiny heart beats 1,200 times a minute | wow body
Hummingbirds are the only birds who can fly backwards | flying friend
Penguins give each other pebbles as a gift | cute animal
Rabbits do happy little jumps called binkies | cute animal
Cows have a nearly all-around view without moving their head | wow body
Dogs can smell your feelings | smart friend
Cats have three eyelids | wow body
Baby dolphins are born with tiny whiskers | cute baby
A cat's nose print is unique — like your fingerprint | cool fact
Elephants say hello by touching trunks | cute animal
Pigs can play video games — really | smart friend
Ravens can solve puzzles a 5-year-old can't | smart friend
Crows remember faces for years | smart friend
Sea horses — the dads carry the babies | wow family
Baby zebras are born with brown and white stripes | cute baby
Koalas have fingerprints just like ours | wow body
A blue whale's tongue weighs as much as an elephant | big animal
A baby blue whale grows as much as a car every month | wow growth
Frogs can drink water through their skin | silly body
Turtles can live over 150 years | wow age
Some turtles pull their whole body into their shell | wow body
Sea otters use rocks as tools to open shells | smart friend
Beavers build homes with pools, doors, and rooms | smart friend
Ants can lift 50 times their own weight | tiny hero
Ants have TWO stomachs — one to share food with friends | sharing friend
Bees have five eyes | wow body
Butterflies used to be caterpillars | big change
A caterpillar has more muscles than a person | tiny hero
Snails carry their homes on their backs | cute animal
Bunnies can't burp | silly body
Camels have three eyelids to keep out sand | wow body
Some jellyfish glow in the dark | glowing friend
Sea turtles cry tiny salty tears to stay healthy | wow body
Baby giraffes can walk within an hour of being born | wow baby
Peacocks fan out their tails like a giant rainbow | beautiful animal
Puffins can flap their wings 400 times a minute | flying friend
A hedgehog has 5,000 tiny spikes on its back | cool body
